% Model,3D-1.2.mph,,
% Version,COMSOL 6.3.0.420,,
% Date,10/4/2025 0:00,,
% Dimension,3,,
% Nodes,68921,,
% Expressions,1,,
% Description,Electric potential,,
% Length unit,µm,,
% x,y,z,V (V) @ 1: Vrf1=1 V; Vrf2=1 V; Vdc1=0 V; Vdc2=0 V; Vdc3=0 V
-10,-10,-10,0.3693190453000396
-9.5,-10,-10,0.368802826733898
-9,-10,-10,0.3682981301414228
-8.5,-10,-10,0.3678049555226134
-8,-10,-10,0.3673233028774697
-7.5,-10,-10,0.3669185163271111
-7,-10,-10,0.36656273659036315
-6.5,-10,-10,0.3662321489717124
-6,-10,-10,0.365926753471159
-5.5,-10,-10,0.3656465500887026
-5,-10,-10,0.36539153882434355
-4.5,-10,-10,0.3651617196780818
-4,-10,-10,0.364964628643181
-3.5,-10,-10,0.36481797883483025
-3,-10,-10,0.3647011999023629
-2.5,-10,-10,0.36461429184577865
-2,-10,-10,0.3645572546650776
-1.5,-10,-10,0.3645300883602599
-1,-10,-10,0.36453279293132523
-0.5,-10,-10,0.36456536837827375
0,-10,-10,0.36462781470110567
0.5,-10,-10,0.3647201318998208
1,-10,-10,0.3648423199744189
1.5,-10,-10,0.3649943789249003
2,-10,-10,0.36517630875126506
2.5,-10,-10,0.3653540696107233
3,-10,-10,0.3654448002368251
3.5,-10,-10,0.3655921874972538
4,-10,-10,0.3658001725772057
4.5,-10,-10,0.3660193082095201
5,-10,-10,0.3662495943941971
5.5,-10,-10,0.36649103113123616
6,-10,-10,0.3667436184206378
6.5,-10,-10,0.367007356262402
7,-10,-10,0.36728224465652837
7.499999999999999,-10,-10,0.3675682836030171
8,-10,-10,0.3678654731018685
8.5,-10,-10,0.3681738131530821
9,-10,-10,0.3684933037566581
9.499999999999998,-10,-10,0.36882394491259685
10,-10,-10,0.36916573662089747
-10,-9.5,-10,0.36953360614109476
-9.5,-9.5,-10,0.36903117856278905
-9,-9.5,-10,0.3685402729581496
-8.5,-9.5,-10,0.3680608893271759
-8,-9.5,-10,0.3675930276698682
-7.5,-9.5,-10,0.36715628656315236
-7,-9.5,-10,0.36680812849853567
-6.5,-9.5,-10,0.3664851625520164
-6,-9.5,-10,0.3661873887235941
-5.5,-9.5,-10,0.365914807013269
-5,-9.5,-10,0.36566741742104125
-4.5,-9.5,-10,0.3654452199469106
-4,-9.5,-10,0.3652482145908773
-3.5,-9.5,-10,0.365076401352941
-3,-9.5,-10,0.3649391548235768
-2.5,-9.5,-10,0.36485668236203855
-2,-9.5,-10,0.36480408077638343
-1.5,-9.5,-10,0.3647813500666117
-1,-9.5,-10,0.364788490232723
-0.5,-9.5,-10,0.36482550127471763
0,-9.5,-10,0.3648923831925953
0.5,-9.5,-10,0.3649891359863564
1,-9.5,-10,0.3651157596560005
1.5,-9.5,-10,0.365272254201528
2,-9.5,-10,0.36545861962293846
2.5,-9.5,-10,0.36564170953186076
3,-9.5,-10,0.36572689796155655
3.5,-9.5,-10,0.36588927151907635
4,-9.5,-10,0.36609307762667004
4.5,-9.5,-10,0.3663080342866261
5,-9.5,-10,0.36653414149894453
5.5,-9.5,-10,0.36677139926362534
6,-9.5,-10,0.36701980758066877
6.5,-9.5,-10,0.3672793664500744
