% Model,Untitled.mph,,
% Version,COMSOL 6.3.0.420,,
% Date,10/7/2025 0:00,,
% Dimension,3,,
% Nodes,68921,,
% Expressions,1,,
% Description,Electric potential,,
% Length unit,µm,,
% x,y,z,V (V) @ 1: Vrf1=1 V; Vrf2=1 V; Vdc1=0 V; Vdc2=0 V; Vdc3=0 V
-20,-20,-20,0.5102255760310683
-19,-20,-20,0.507420712517375
-18,-20,-20,0.5047198527795859
-17,-20,-20,0.5021393831351347
-16,-20,-20,0.499680714467724
-15,-20,-20,0.49734377556170706
-14,-20,-20,0.495122577960237
-13,-20,-20,0.49303869677887413
-12,-20,-20,0.4910871700640139
-11,-20,-20,0.4892824320414235
-10,-20,-20,0.4876262129991231
-9,-20,-20,0.4861083106379287
-8,-20,-20,0.48473979111452886
-7,-20,-20,0.4835216809697302
-6,-20,-20,0.4824703708042316
-5,-20,-20,0.4815818477024887
-4,-20,-20,0.48085196013602044
-3,-20,-20,0.4802772905212677
-2,-20,-20,0.47986218651649254
-1,-20,-20,0.4796143514994593
0,-20,-20,0.47953393053434734
1,-20,-20,0.47962281094440834
2,-20,-20,0.4798739756496985
3,-20,-20,0.4802877993709341
4,-20,-20,0.48085744519352924
5,-20,-20,0.4815838350269007
6,-20,-20,0.4824902686956784
7,-20,-20,0.48354788268917676
8,-20,-20,0.4847537466435741
9,-20,-20,0.48611212226551964
10,-20,-20,0.4876269797314163
11,-20,-20,0.48928871245905764
12,-20,-20,0.49110721681655395
13,-20,-20,0.4930514851526778
14,-20,-20,0.49512774123725356
14.999999999999998,-20,-20,0.49733981308687164
16,-20,-20,0.4996845927934129
17,-20,-20,0.5021529227644238
18,-20,-20,0.5047289556674477
18.999999999999996,-20,-20,0.5074150948417504
20,-20,-20,0.5102091147166663
-20,-19,-20,0.5110031984969402
-19,-19,-20,0.508317494332824
-18,-19,-20,0.5057310707662541
-17,-19,-20,0.5032696845000695
-16,-19,-20,0.5009245429538327
-15,-19,-20,0.49868648639622554
-14,-19,-20,0.49656008366712945
-13,-19,-20,0.49456456161521306
-12,-19,-20,0.49270240130531107
-11,-19,-20,0.49098152445934723
-10,-19,-20,0.4893965618914007
-9,-19,-20,0.4879440616683058
-8,-19,-20,0.48663340011911954
-7,-19,-20,0.48547212140772744
-6,-19,-20,0.48446244289243684
-5,-19,-20,0.48360819079541
-4,-19,-20,0.48290969525258104
-3,-19,-20,0.48236695626395
-2,-19,-20,0.48197997382951696
-1,-19,-20,0.4817352571542006
0,-19,-20,0.48165830076506094
1,-19,-20,0.48173300589697704
2,-19,-20,0.48196802225725527
3,-19,-20,0.4823647664903178
4,-19,-20,0.482915421858938
5,-19,-20,0.48361933443146043
6,-19,-20,0.4844710679878212
7,-19,-20,0.4854746837144725
8,-19,-20,0.48663014487862055
9,-19,-20,0.4879360672040613
10,-19,-20,0.4893964649891919
11,-19,-20,0.49098489391003597
12,-19,-20,0.4927161030865593
13,-19,-20,0.4945794857901229
14,-19,-20,0.49656448348793
14.999999999999998,-19,-20,0.49867475691164087
16,-19,-20,0.5009119218200567
17,-19,-20,0.5032759782131774
18,-19,-20,0.5057439466920423
18.999999999999996,-19,-20,0.5083154386247448
20,-19,-20,0.5109877336042429
-20,-18,-20,0.5116751283268324
-19,-18,-20,0.50911052408971
-18,-18,-20,0.5066432598727172
-17,-18,-20,0.504287443533424
-16,-18,-20,0.5020386011596243
-15,-18,-20,0.4998994269504269
-14,-18,-20,0.49787018194373284
-13,-18,-20,0.4959597168680193
-12,-18,-20,0.49417482933869944
-11,-18,-20,0.4925259406672761
-10,-18,-20,0.49100922605190966
-9,-18,-20,0.489625631238324
-8,-18,-20,0.48837588810597676
-7,-18,-20,0.48727218215103585
-6,-18,-20,0.4863016737876837
-5,-18,-20,0.48547581920520116
-4,-18,-20,0.4848130956683023
-3,-18,-20,0.48429617464024527
-2,-18,-20,0.4839226448631724
-1,-18,-20,0.48369250633708366
0,-18,-20,0.48362083301811426
1,-18,-20,0.48369818440214496
2,-18,-20,0.48391567114424694
3,-18,-20,0.4842915781416571
4,-18,-20,0.4848187791587345
5,-18,-20,0.4854967628915807
6,-18,-20,0.48631046108214354
7,-18,-20,0.48726477206841495
8,-18,-20,0.48836954421597945
9,-18,-20,0.4896247775248364
10,-18,-20,0.49101121591807234
11,-18,-20,0.4925303233430027
12,-18,-20,0.4941846537468035
13,-18,-20,0.4959652389489946
14,-18,-20,0.49787005912614896
14.999999999999998,-18,-20,0.49989907087579555
16,-18,-20,0.502030892749396
17,-18,-20,0.5042893502879678
18,-18,-20,0.5066540585403353
18.999999999999996,-18,-20,0.5091148909719855
20,-18,-20,0.5116689528104429
-20,-17,-20,0.5122561058088622
-19,-17,-20,0.509811491535905
-18,-17,-20,0.5074513714620408
-17,-17,-20,0.5051935826605884
-16,-17,-20,0.503047332006932
-15,-17,-20,0.5010004653342375
-14,-17,-20,0.49906065653589965
-13,-17,-20,0.49723119764768975
-12,-17,-20,0.4955258291053886
-11,-17,-20,0.4939461931835822
-10,-17,-20,0.4924966364110687
-9,-17,-20,0.4911683894341835
-8,-17,-20,0.48997877262228384
-7,-17,-20,0.4889216945305878
-6,-17,-20,0.4880037703324064
-5,-17,-20,0.48722043660615894
-4,-17,-20,0.4865761587323462
-3,-17,-20,0.4860746335055939
-2,-17,-20,0.48571649952982565
-1,-17,-20,0.4855017568050413
0,-17,-20,0.48543522744854706
1,-17,-20,0.48551004066308273
2,-17,-20,0.4857192796147283
3,-17,-20,0.48607108574401525
4,-17,-20,0.48657483240954996
5,-17,-20,0.4872279911200952
6,-17,-20,0.48800646701075884
7,-17,-20,0.48891733526790604
8,-17,-20,0.48997293505187745
9,-17,-20,0.4911651715693761
10,-17,-20,0.49248891322957955
11,-17,-20,0.4939448358707875
12,-17,-20,0.4955331927570971
13,-17,-20,0.49724259845454327
14,-17,-20,0.4990575349746309
14.999999999999998,-17,-20,0.5009961343995641
16,-17,-20,0.503040743906413
17,-17,-20,0.5051943642654539
18,-17,-20,0.5074580500451296
18.999999999999996,-17,-20,0.509812815653849
20,-17,-20,0.5122627021286654
-20,-16,-20,0.5127606407088713
-19,-16,-20,0.5104198764877191
-18,-16,-20,0.5081624349732156
-17,-16,-20,0.506002284660463
-16,-16,-20,0.5039404083690834
-15,-16,-20,0.5019812789566145
-14,-16,-20,0.5001299485397845
-13,-16,-20,0.49838577238027637
-12,-16,-20,0.4967599228249939
-11,-16,-20,0.49524407819160776
-10,-16,-20,0.49385255466881905
-9,-16,-20,0.49258680763895357
-8,-16,-20,0.491454826463788
-7,-16,-20,0.49043900918105393
-6,-16,-20,0.48955647096199173
-5,-16,-20,0.4888071904256468
-4,-16,-20,0.48818724927661283
-3,-16,-20,0.4877023342808557
-2,-16,-20,0.48736139546044016
-1,-16,-20,0.487164432815366
0,-16,-20,0.48710361285125187
1,-16,-20,0.4871750812784165
2,-16,-20,0.4873812518916191
3,-16,-20,0.4877252406691693
4,-16,-20,0.48820733119130405
5,-16,-20,0.4888092679011899
6,-16,-20,0.48955663150382744
7,-16,-20,0.4904352364287908
8,-16,-20,0.4914552036332702
9,-16,-20,0.4925864292271051
10,-16,-20,0.4938491599636445
11,-16,-20,0.4952432298517853
12,-16,-20,0.49676672451999626
13,-16,-20,0.49840460508317586
14,-16,-20,0.5001446215851805
14.999999999999998,-16,-20,0.5019919325412122
16,-16,-20,0.5039461297233475
17,-16,-20,0.5060063369873985
18,-16,-20,0.5081686352848039
18.999999999999996,-16,-20,0.5104282734729819
20,-16,-20,0.5127611621444066
-20,-15,-20,0.5131774344734403
-19,-15,-20,0.510936427557336
-18,-15,-20,0.5087779473002699
-17,-15,-20,0.5067148364609941
-16,-15,-20,0.5047340621340745
-15,-15,-20,0.5028607471741156
-14,-15,-20,0.5010954046132792
-13,-15,-20,0.4994286526669227
-12,-15,-20,0.4978733178991473
-11,-15,-20,0.49641856623888714
-10,-15,-20,0.4950895426631179
-9,-15,-20,0.493882384042767
-8,-15,-20,0.49279488150503115
-7,-15,-20,0.4918187298738837
-6,-15,-20,0.4909817339486472
-5,-15,-20,0.4902578273148146
-4,-15,-20,0.48966261145085255
-3,-15,-20,0.4891969197325294
-2,-15,-20,0.4888735256713388
-1,-15,-20,0.4886956231704084
0,-15,-20,0.4886300328604758
1,-15,-20,0.4886983347266028
2,-15,-20,0.4888987277758695
3,-15,-20,0.4892305576198642
4,-15,-20,0.4896831547247406
5,-15,-20,0.4902579569583011
6,-15,-20,0.490979590450777
7,-15,-20,0.49181983817227815
8,-15,-20,0.49279769021129977
9,-15,-20,0.4938878233062208
