% Model,b=2.52a.mph,,
% Version,COMSOL 6.3.0.420,,
% Date,10/10/2025 0:00,,
% Dimension,3,,
% Nodes,68921,,
% Expressions,1,,
% Description,Electric potential,,
% Length unit,µm,,
% x,y,z,V (V) @ 1: Vrf1=1 V; Vrf2=1 V; Vdc1=0 V; Vdc2=0 V; Vdc3=0 V
-10,-10,-10,0.4996206952473902
-9,-10,-10,0.4986487423202938
-8,-10,-10,0.4977764783486417
-7,-10,-10,0.4969997559442258
-6,-10,-10,0.49632481853883503
-5,-10,-10,0.49575259440788044
-4,-10,-10,0.49528232315751175
-3,-10,-10,0.494914239209437
-2,-10,-10,0.49465279319366146
-1,-10,-10,0.494494717640906
0,-10,-10,0.4944422778132651
1,-10,-10,0.4944952196109519
2,-10,-10,0.4946540166538651
3,-10,-10,0.49491733674802396
4,-10,-10,0.4952860552251226
5,-10,-10,0.4957577935545801
6,-10,-10,0.4963320083379978
7,-10,-10,0.49700811501855896
8,-10,-10,0.49778434593627324
9,-10,-10,0.4986598730654615
10,-10,-10,0.499632081978594
11,-10,-10,0.5006984250355724
12,-10,-10,0.5018587226001135
13,-10,-10,0.5031083950643931
14,-10,-10,0.5044464982020097
14.999999999999998,-10,-10,0.5058705607394075
16,-10,-10,0.5073760258663818
17,-10,-10,0.5089611615080349
18,-10,-10,0.5106225948318097
18.999999999999996,-10,-10,0.5123577362714077
20,-10,-10,0.5141613388932538
21,-10,-10,0.5160315914725327
22,-10,-10,0.5179636087860288
23,-10,-10,0.5199551989989827
24,-10,-10,0.5220011132280481
24.999999999999996,-10,-10,0.5240986492635841
26,-10,-10,0.5262424614243971
27,-10,-10,0.5284284972225081
28,-10,-10,0.530654696137476
29,-10,-10,0.5329158473017601
29.999999999999996,-10,-10,0.5352068781673108
-10,-9,-10,0.5002205404013627
-9,-9,-10,0.4992916885919933
-8,-9,-10,0.4984559052391851
-7,-9,-10,0.49771260726224803
-6,-9,-10,0.4970662815156492
-5,-9,-10,0.49651757348047
-4,-9,-10,0.4960669496684958
-3,-9,-10,0.4957166328706896
-2,-9,-10,0.4954652870765663
-1,-9,-10,0.49531513624398066
0,-9,-10,0.495264960262454
1,-9,-10,0.4953159989987076
2,-9,-10,0.49546797914232454
3,-9,-10,0.4957199442475587
4,-9,-10,0.4960725442539311
5,-9,-10,0.49652362878578826
6,-9,-10,0.4970731838686391
7,-9,-10,0.49772036521317076
8,-9,-10,0.4984634698822103
9,-9,-10,0.49930066123684186
10,-9,-10,0.5002301523065275
11,-9,-10,0.5012519535984026
12,-9,-10,0.5023623414439558
13,-9,-10,0.5035584656118126
14,-9,-10,0.5048395364463609
14.999999999999998,-9,-10,0.5062020617643851
16,-9,-10,0.5076435862882727
17,-9,-10,0.5091616360521919
18,-9,-10,0.5107521514899781
18.999999999999996,-9,-10,0.5124135390587734
20,-9,-10,0.51414147361933
21,-9,-10,0.5159326746348906
22,-9,-10,0.5177844690399499
23,-9,-10,0.5196913462971613
24,-9,-10,0.5216519605737358
24.999999999999996,-9,-10,0.5236610294832214
26,-9,-10,0.5257160829180205
27,-9,-10,0.5278138295546323
28,-9,-10,0.5299469210143375
29,-9,-10,0.5321148378139546
29.999999999999996,-9,-10,0.534312773864628
-10,-8,-10,0.500729757813106
-9,-8,-10,0.49984104109715966
-8,-8,-10,0.4990405825870602
-7,-8,-10,0.4983300804071124
-6,-8,-10,0.497712633858118
-5,-8,-10,0.49718711052259784
-4,-8,-10,0.49675528581335304
-3,-8,-10,0.49642045793951506
-2,-8,-10,0.4961788140849687
-1,-8,-10,0.4960360355502192
0,-8,-10,0.49598784516118233
1,-8,-10,0.4960358282472475
2,-8,-10,0.4961813266503692
3,-8,-10,0.49642230796064796
4,-8,-10,0.4967593495982262
5,-8,-10,0.4971915042659033
6,-8,-10,0.4977172289020752
7,-8,-10,0.4983365007964157
8,-8,-10,0.49904717304758706
9,-8,-10,0.4998492480221597
10,-8,-10,0.5007392605948358
11,-8,-10,0.5017171013604748
12,-8,-10,0.502779158163029
13,-8,-10,0.5039244655884346
14,-8,-10,0.5051503817459257
14.999999999999998,-8,-10,0.5064547683096811
16,-8,-10,0.5078352857703037
17,-8,-10,0.5092880975051739
18,-8,-10,0.5108117116242841
18.999999999999996,-8,-10,0.5124032552864005
20,-8,-10,0.514057715797373
21,-8,-10,0.51577371874638
22,-8,-10,0.5175467085088121
23,-8,-10,0.5193747362301867
24,-8,-10,0.5212533053676671
24.999999999999996,-8,-10,0.5231795253548015
26,-8,-10,0.5251491484195432
27,-8,-10,0.5271589925087632
28,-8,-10,0.5292056512270069
29,-8,-10,0.531284394008318
29.999999999999996,-8,-10,0.5333937203124497
-10,-7,-10,0.5011523486499254
-9,-7,-10,0.5003012662411837
-8,-7,-10,0.4995346999468097
-7,-7,-10,0.49885581799757567
-6,-7,-10,0.49826443439729934
-5,-7,-10,0.49776185540773477
-4,-7,-10,0.4973486763279415
-3,-7,-10,0.497027163590395
-2,-7,-10,0.4967970660161407
-1,-7,-10,0.4966588321877578
0,-7,-10,0.4966129461158988
1,-7,-10,0.4966598108678947
2,-7,-10,0.4967989098913277
3,-7,-10,0.4970300381659889
4,-7,-10,0.49735214244896014
5,-7,-10,0.49776519030131966
6,-7,-10,0.49826896989052544
7,-7,-10,0.4988618098851063
8,-7,-10,0.49954175573872883
9,-7,-10,0.5003089908404662
10,-7,-10,0.501160498140073
11,-7,-10,0.5020964410448929
12,-7,-10,0.5031127997217714
13,-7,-10,0.5042096659554461
14,-7,-10,0.5053831996119177
14.999999999999998,-7,-10,0.5066324174065246
16,-7,-10,0.5079535446915591
17,-7,-10,0.5093455561835513
18,-7,-10,0.5108048294580851
18.999999999999996,-7,-10,0.5123280530107793
20,-7,-10,0.5139133863052533
21,-7,-10,0.5155566818334578
22,-7,-10,0.5172565411155818
23,-7,-10,0.5190078863985376
24,-7,-10,0.5208078714144841
24.999999999999996,-7,-10,0.5226537700628063
26,-7,-10,0.5245421964014575
27,-7,-10,0.5264685345366186
28,-7,-10,0.5284318065783
29,-7,-10,0.530425955079836
29.999999999999996,-7,-10,0.5324478547386431
-10,-6,-10,0.5014928910847711
-9,-6,-10,0.5006771947137652
-8,-6,-10,0.4999430472829904
-7,-6,-10,0.4992922381575293
-6,-6,-10,0.49872539379686226
-5,-6,-10,0.4982449696356674
-4,-6,-10,0.4978513855413418
-3,-6,-10,0.49754276102220046
-2,-6,-10,0.49732270775813603
-1,-6,-10,0.4971903537139336
0,-6,-10,0.4971468638567588
1,-6,-10,0.4971913490540925
2,-6,-10,0.4973244855721226
3,-6,-10,0.49754496923454883
4,-6,-10,0.49785412089935693
5,-6,-10,0.4982498629716008
6,-6,-10,0.49873120248768293
7,-6,-10,0.49929794867279575
8,-6,-10,0.49994962642332497
9,-6,-10,0.5006839761939412
10,-6,-10,0.5014993360437671
11,-6,-10,0.5023945413837365
12,-6,-10,0.5033678575236418
13,-6,-10,0.5044188168474462
14,-6,-10,0.5055422050123116
14.999999999999998,-6,-10,0.5067380601109257
16,-6,-10,0.5080035169699431
17,-6,-10,0.5093359159234582
18,-6,-10,0.5107330971321596
18.999999999999996,-6,-10,0.5121921557228146
20,-6,-10,0.5137109841454965
21,-6,-10,0.5152855728805943
22,-6,-10,0.5169132332140507
23,-6,-10,0.5185910531977244
24,-6,-10,0.5203169152814653
24.999999999999996,-6,-10,0.5220861682079216
26,-6,-10,0.5238967890747237
27,-6,-10,0.5257439957079908
28,-6,-10,0.5276253436987328
29,-6,-10,0.5295374409428992
29.999999999999996,-6,-10,0.5314784736322824
-10,-5,-10,0.501751420709041
-9,-5,-10,0.5009713893197258
-8,-5,-10,0.5002691644351894
-7,-5,-10,0.49964689354259734
-6,-5,-10,0.49910397154086383
-5,-5,-10,0.4986442455975652
-4,-5,-10,0.4982664133965244
-3,-5,-10,0.49797094258828184
-2,-5,-10,0.49776097448321427
-1,-5,-10,0.49763416724175674
0,-5,-10,0.49759200772221135
1,-5,-10,0.4976346736836051
2,-5,-10,0.49776170948329296
3,-5,-10,0.4979734837115668
4,-5,-10,0.498268125528498
5,-5,-10,0.49864755695573515
6,-5,-10,0.49910850032771764
7,-5,-10,0.49965109354036447
8,-5,-10,0.500274942787224
9,-5,-10,0.5009773774927501
10,-5,-10,0.5017578703607639
11,-5,-10,0.5026151995198976
12,-5,-10,0.5035472593760084
13,-5,-10,0.5045525560816208
14,-5,-10,0.5056282059108593
14.999999999999998,-5,-10,0.5067733936123213
16,-5,-10,0.5079847723837643
17,-5,-10,0.5092613689370341
18,-5,-10,0.5105998763271572
18.999999999999996,-5,-10,0.5119971700260335
20,-5,-10,0.5134519665714941
21,-5,-10,0.5149606658228533
22,-5,-10,0.5165204389127318
23,-5,-10,0.5181286934152629
24,-5,-10,0.5197824365697096
24.999999999999996,-5,-10,0.5214781370577645
26,-5,-10,0.523213105951514
27,-5,-10,0.5249851380764721
28,-5,-10,0.5267893290782073
29,-5,-10,0.5286231894256408
29.999999999999996,-5,-10,0.5304852633160236
-10,-4,-10,0.5019341791068307
-9,-4,-10,0.5011879972637803
-8,-4,-10,0.5005157976521145
-7,-4,-10,0.4999196691230493
-6,-4,-10,0.4994009579765745
-5,-4,-10,0.49895999103532424
-4,-4,-10,0.4985979195621158
-3,-4,-10,0.49831626607688595
-2,-4,-10,0.4981143026430148
-1,-4,-10,0.4979930342682119
0,-4,-10,0.4979531109133715
1,-4,-10,0.4979940847080509
2,-4,-10,0.4981153309010052
3,-4,-10,0.49831784001176105
4,-4,-10,0.49860010174078306
5,-4,-10,0.49896246830997787
6,-4,-10,0.4994045288344525
7,-4,-10,0.4999235616293312
8,-4,-10,0.500520026953767
9,-4,-10,0.5011928581450802
10,-4,-10,0.5019407348447786
11,-4,-10,0.5027613308314944
12,-4,-10,0.5036535387619574
13,-4,-10,0.504615774446373
14,-4,-10,0.5056455375454775
14.999999999999998,-4,-10,0.5067425637278257
16,-4,-10,0.5079029115840767
17,-4,-10,0.5091254340786134
18,-4,-10,0.5104071444947423
18.999999999999996,-4,-10,0.5117462261325473
20,-4,-10,0.5131389726312565
21,-4,-10,0.5145850394310154
22,-4,-10,0.5160794572646717
23,-4,-10,0.5176203812296154
24,-4,-10,0.5192054086675748
24.999999999999996,-4,-10,0.5208311218577177
26,-4,-10,0.5224945695542453
27,-4,-10,0.5241931265203639
28,-4,-10,0.5259229554330457
29,-4,-10,0.5276820664944862
29.999999999999996,-4,-10,0.5294680082403034
-10,-3,-10,0.5020445465005707
-9,-3,-10,0.5013289452132912
-8,-3,-10,0.5006857091196538
-7,-3,-10,0.5001153262200276
-6,-3,-10,0.4996187464535117
-5,-3,-10,0.4991969563772938
-4,-3,-10,0.49884999715358125
-3,-3,-10,0.49858050543453525
-2,-3,-10,0.4983876963006052
-1,-3,-10,0.49827144294201847
0,-3,-10,0.49823288059656357
1,-3,-10,0.49827210365078
2,-3,-10,0.498388419543695
3,-3,-10,0.4985819625548296
4,-3,-10,0.49885287221764535
5,-3,-10,0.49919896364696403
6,-3,-10,0.4996216545778736
7,-3,-10,0.5001194742474822
8,-3,-10,0.5006904882899255
9,-3,-10,0.5013343702919653
10,-3,-10,0.5020499348225812
11,-3,-10,0.5028355038321004
12,-3,-10,0.5036899895513336
13,-3,-10,0.5046115082017206
14,-3,-10,0.5055977696816102
14.999999999999998,-3,-10,0.5066480312210099
16,-3,-10,0.5077591261129565
17,-3,-10,0.5089298867972663
18,-3,-10,0.5101575376486089
18.999999999999996,-3,-10,0.5114394996374225
20,-3,-10,0.5127750739320657
21,-3,-10,0.5141601855814663
22,-3,-10,0.5155917091980461
23,-3,-10,0.5170688461648657
24,-3,-10,0.5185879644303496
24.999999999999996,-3,-10,0.5201462311748202
26,-3,-10,0.5217409137209261
27,-3,-10,0.5233693268410572
28,-3,-10,0.5250281129012139
29,-3,-10,0.5267160153345809
29.999999999999996,-3,-10,0.5284286663741906
-10,-2,-10,0.502084959569844
-9,-2,-10,0.5013998513468482
-8,-2,-10,0.5007845970289546
-7,-2,-10,0.5002368890720443
-6,-2,-10,0.4997616928580742
-5,-2,-10,0.4993582567228071
-4,-2,-10,0.4990265983936317
-3,-2,-10,0.49876827616136926
-2,-2,-10,0.4985830098065064
-1,-2,-10,0.498471649773069
0,-2,-10,0.49843576480111695
1,-2,-10,0.4984731287678275
2,-2,-10,0.4985838708806874
3,-2,-10,0.4987690920965958
4,-2,-10,0.4990286571402957
5,-2,-10,0.4993604909598353
6,-2,-10,0.49976498170417927
7,-2,-10,0.5002406762851842
8,-2,-10,0.5007878447185266
9,-2,-10,0.5014043245645969
10,-2,-10,0.5020893091001848
11,-2,-10,0.5028414717155849
12,-2,-10,0.5036596711961535
13,-2,-10,0.5045416689158883
14,-2,-10,0.5054865270977507
14.999999999999998,-2,-10,0.5064921077609021
16,-2,-10,0.507556306638588
17,-2,-10,0.5086775233075937
18,-2,-10,0.5098542817385896
18.999999999999996,-2,-10,0.5110825669666951
20,-2,-10,0.512361139564622
21,-2,-10,0.513688026863695
22,-2,-10,0.5150603258420512
23,-2,-10,0.5164758053454888
24,-2,-10,0.5179314298436571
24.999999999999996,-2,-10,0.5194243691016637
26,-2,-10,0.5209543315567531
27,-2,-10,0.5225155424524753
28,-2,-10,0.524106510637854
29,-2,-10,0.5257245858201274
29.999999999999996,-2,-10,0.5273664705954457
-10,-1,-10,0.5020571759243895
-9,-1,-10,0.5014021915395387
-8,-1,-10,0.5008128140310386
-7,-1,-10,0.5002895796188699
-6,-1,-10,0.4998341792154901
-5,-1,-10,0.49944741394581127
-4,-1,-10,0.4991299261645294
-3,-1,-10,0.49888228250385747
-2,-1,-10,0.49870530436474525
-1,-1,-10,0.4985991956712774
0,-1,-10,0.4985634603902786
1,-1,-10,0.4985996017627299
2,-1,-10,0.4987063522264495
3,-1,-10,0.4988831802760281
4,-1,-10,0.49913136251971324
5,-1,-10,0.4994496033546582
6,-1,-10,0.4998358831853164
7,-1,-10,0.5002918664217768
8,-1,-10,0.5008153119764883
9,-1,-10,0.5014054653874771
10,-1,-10,0.5020617796926502
11,-1,-10,0.5027817359063311
12,-1,-10,0.503565214772733
13,-1,-10,0.5044097147525278
14,-1,-10,0.5053145203684546
14.999999999999998,-1,-10,0.5062777242997889
16,-1,-10,0.5072969509769583
17,-1,-10,0.5083709238755671
18,-1,-10,0.5094974714935538
18.999999999999996,-1,-10,0.5106747387095816
20,-1,-10,0.5118997975869083
21,-1,-10,0.5131708668326277
22,-1,-10,0.5144857514512785
23,-1,-10,0.5158421954400753
24,-1,-10,0.517237484102104
24.999999999999996,-1,-10,0.518669052624376
26,-1,-10,0.5201353326601533
27,-1,-10,0.5216321825320485
28,-1,-10,0.5231571841006527
29,-1,-10,0.5247093998759772
29.999999999999996,-1,-10,0.5262841859624376
-10,0,-10,0.5019662987201068
-9,0,-10,0.5013388908038067
-8,0,-10,0.5007735589312543
-7,0,-10,0.5002730271328223
-6,0,-10,0.4998377150711971
-5,0,-10,0.4994666507848587
-4,0,-10,0.49916326311932796
-3,0,-10,0.49892656367526794
-2,0,-10,0.49875651941432153
-1,0,-10,0.4986548834393095
0,0,-10,0.49862097205992745
1,0,-10,0.49865532442975824
2,0,-10,0.49875768829822753
3,0,-10,0.4989271894010274
4,0,-10,0.49916462029931985
5,0,-10,0.49946877560035186
6,0,-10,0.4998393619219579
7,0,-10,0.500275533953629
8,0,-10,0.5007770105260019
9,0,-10,0.5013417329842691
10,0,-10,0.5019700598933595
11,0,-10,0.5026591748690082
12,0,-10,0.5034094041861759
13,0,-10,0.5042182839572243
14,0,-10,0.5050849060258943
14.999999999999998,0,-10,0.5060068315588561
16,0,-10,0.5069834070823407
17,0,-10,0.5080123769074777
18,0,-10,0.5090907824900597
18.999999999999996,0,-10,0.5102186232137361
20,0,-10,0.5113921402011892
21,0,-10,0.5126102701225483
22,0,-10,0.5138702555443925
23,0,-10,0.5151701316062319
24,0,-10,0.5165074320373231
24.999999999999996,0,-10,0.5178798797901026
26,0,-10,0.5192842754148699
27,0,-10,0.5207191573685561
28,0,-10,0.5221819332076386
29,0,-10,0.5236703029023793
29.999999999999996,0,-10,0.525180987037065
-10,1,-10,0.5018133867346073
-9,1,-10,0.5012123537504098
-8,1,-10,0.5006717277662355
-7,1,-10,0.5001922627989082
-6,1,-10,0.4997752983264225
-5,1,-10,0.4994204069216796
-4,1,-10,0.49912941266550503
-3,1,-10,0.49890318772874
-2,1,-10,0.498740758541295
-1,1,-10,0.4986432388317302
0,1,-10,0.4986104713309865
1,1,-10,0.4986433147034615
2,1,-10,0.49874071205058684
3,1,-10,0.49890382065711075
4,1,-10,0.4991309772111522
5,1,-10,0.499421667974062
6,1,-10,0.4997765253015866
7,1,-10,0.5001943961374606
8,1,-10,0.5006740644596334
9,1,-10,0.5012151211648556
10,1,-10,0.5018163803675956
11,1,-10,0.5024769217862503
12,1,-10,0.5031948934967231
13,1,-10,0.5039691709285441
14,1,-10,0.504799019016672
14.999999999999998,1,-10,0.5056825844844155
16,1,-10,0.5066175577668809
17,1,-10,0.5076023976777385
18,1,-10,0.5086363680167607
18.999999999999996,1,-10,0.5097165459826186
20,1,-10,0.5108410430502569
21,1,-10,0.5120082846530631
22,1,-10,0.5132150782206722
23,1,-10,0.5144605469528123
24,1,-10,0.5157422002461072
24.999999999999996,1,-10,0.517057645892646
26,1,-10,0.518404121136982
27,1,-10,0.5197798750850532
28,1,-10,0.5211823239232283
29,1,-10,0.5226087422602187
29.999999999999996,1,-10,0.5240572575275633
-10,2,-10,0.501601981020883
-9,2,-10,0.5010264038669572
-8,2,-10,0.5005087940996842
-7,2,-10,0.5000498359491939
-6,2,-10,0.4996499868821926
-5,2,-10,0.4993105217894632
-4,2,-10,0.4990317857442477
-3,2,-10,0.49881487980092376
-2,2,-10,0.498659464818047
-1,2,-10,0.49856624918962156
0,2,-10,0.4985356031413919
1,2,-10,0.49856681675246667
2,2,-10,0.49866015491065047
3,2,-10,0.4988161676628981
4,2,-10,0.49903302260405547
5,2,-10,0.49931177233756285
6,2,-10,0.4996514597538247
7,2,-10,0.5000514197913509
8,2,-10,0.5005106234043735
9,2,-10,0.5010289462800879
10,2,-10,0.5016042133040244
11,2,-10,0.5022366617364512
12,2,-10,0.5029242947606642
13,2,-10,0.5036656801750234
14,2,-10,0.5044603107425992
14.999999999999998,2,-10,0.5053061616300244
16,2,-10,0.5062020804775333
17,2,-10,0.5071452127110124
18,2,-10,0.5081356166980988
18.999999999999996,2,-10,0.5091695283356655
20,2,-10,0.5102468823068611
21,2,-10,0.5113658829785801
22,2,-10,0.5125223721897592
23,2,-10,0.5137156086211059
24,2,-10,0.5149438012956681
24.999999999999996,2,-10,0.5162043033138375
26,2,-10,0.5174947001507161
27,2,-10,0.5188134910744546
28,2,-10,0.5201577573974836
29,2,-10,0.5215259894938381
29.999999999999996,2,-10,0.5229150881358309
-10,3,-10,0.5013339871941133
-9,3,-10,0.5007825678785396
-8,3,-10,0.5002868769147694
-7,3,-10,0.49984781378189047
-6,3,-10,0.49946474882375375
-5,3,-10,0.4991398903010432
-4,3,-10,0.49887315716930714
-3,3,-10,0.4986656281776326
-2,3,-10,0.49851634255057586
-1,3,-10,0.4984269984966273
0,3,-10,0.49839749459128796
1,3,-10,0.49842802016884014
2,3,-10,0.49851657956137185
3,3,-10,0.4986654881204983
4,3,-10,0.49887402429950145
5,3,-10,0.4991410749584144
6,3,-10,0.4994659783997453
7,3,-10,0.4998486571151766
8,3,-10,0.5002885038932801
9,3,-10,0.5007843003748095
10,3,-10,0.5013359832849879
11,3,-10,0.5019407501614463
12,3,-10,0.5025990435529027
13,3,-10,0.5033097405712124
14,3,-10,0.5040701484334671
14.999999999999998,3,-10,0.5048804637053899
16,3,-10,0.5057381876904217
17,3,-10,0.5066423593084833
18,3,-10,0.5075902869856669
18.999999999999996,3,-10,0.5085809392434973
20,3,-10,0.5096130991396779
21,3,-10,0.510684161837589
22,3,-10,0.5117923249786718
23,3,-10,0.5129360783317163
24,3,-10,0.5141125540861522
24.999999999999996,3,-10,0.5153212158701537
26,3,-10,0.5165577960750225
27,3,-10,0.5178222714831944
28,3,-10,0.5191105168391045
29,3,-10,0.5204219796095486
29.999999999999996,3,-10,0.5217535016782751
-10,4,-10,0.5010108449785803
-9,4,-10,0.500483738280695
-8,4,-10,0.5000090904479438
-7,4,-10,0.4995877672749497
-6,4,-10,0.499222421803313
-5,4,-10,0.49891069937164145
-4,4,-10,0.4986552370258873
-3,4,-10,0.4984565029178325
-2,4,-10,0.49831388954009687
-1,4,-10,0.4982287508037086
0,4,-10,0.49820033463619684
1,4,-10,0.4982292224275563
2,4,-10,0.49831439265811234
3,4,-10,0.4984567496836059
4,4,-10,0.49865606991871925
5,4,-10,0.49891127539715796
6,4,-10,0.49922291654599715
7,4,-10,0.49958925964699974
8,4,-10,0.5000106108834925
9,4,-10,0.5004849889705955
10,4,-10,0.5010131244104628
11,4,-10,0.5015926795146696
12,4,-10,0.502222719826407
13,4,-10,0.5029033276069426
14,4,-10,0.5036315008854484
14.999999999999998,4,-10,0.5044071037221363
16,4,-10,0.5052287282122542
17,4,-10,0.5060938846674993
18,4,-10,0.5070028761318026
18.999999999999996,4,-10,0.5079520999629159
20,4,-10,0.5089405237617457
21,4,-10,0.5099665741809938
22,4,-10,0.5110280619136386
23,4,-10,0.5121241666475609
24,4,-10,0.5132513963289468
24.999999999999996,4,-10,0.514409216764697
26,4,-10,0.5155942993117516
27,4,-10,0.5168054046314023
28,4,-10,0.5180405549009455
29,4,-10,0.5192980961792663
29.999999999999996,4,-10,0.5205745982858072
-10,5,-10,0.5006372064046137
-9,5,-10,0.5001323252973195
-8,5,-10,0.4996775547893873
-7,5,-10,0.4992745548818527
-6,5,-10,0.49892369315095997
-5,5,-10,0.4986262790162841
-4,5,-10,0.49838186497532727
-3,5,-10,0.49819066863539246
-2,5,-10,0.49805471288110076
-1,5,-10,0.49797363612121126
0,5,-10,0.49794549582723324
1,5,-10,0.4979723982845875
2,5,-10,0.4980551393896211
3,5,-10,0.49819163314674225
4,5,-10,0.4983826022486768
5,5,-10,0.4986267355771418
6,5,-10,0.4989250486986818
7,5,-10,0.4992757388804822
8,5,-10,0.49967832716015886
9,5,-10,0.5001330700747433
10,5,-10,0.5006381183074354
11,5,-10,0.5011927593853845
12,5,-10,0.5017966948160314
13,5,-10,0.5024478395085831
14,5,-10,0.5031454206891267
14.999999999999998,5,-10,0.5038886888392284
16,5,-10,0.5046751531992004
17,5,-10,0.5055039500872371
18,5,-10,0.5063737713410282
18.999999999999996,5,-10,0.5072828975639339
20,5,-10,0.5082298632500915
21,5,-10,0.5092127079062516
22,5,-10,0.5102296365146687
23,5,-10,0.5112792249089378
24,5,-10,0.5123600377684491
24.999999999999996,5,-10,0.5134684791914305
26,5,-10,0.5146044808950884
27,5,-10,0.5157659724602334
28,5,-10,0.5169494461062589
29,5,-10,0.5181546270464293
29.999999999999996,5,-10,0.5193781003736542
-10,6,-10,0.5002132864571538
-9,6,-10,0.49972983593711207
-8,6,-10,0.4992953164324307
-7,6,-10,0.4989094016784286
-6,6,-10,0.4985735448290483
-5,6,-10,0.498288339433581
-4,6,-10,0.49805453966491875
-3,6,-10,0.4978715482421725
-2,6,-10,0.49774179703815696
-1,6,-10,0.49766314974458203
0,6,-10,0.49763660422304123
1,6,-10,0.4976623344811331
2,6,-10,0.49774179616637226
3,6,-10,0.4978722208301146
4,6,-10,0.498054443764668
5,6,-10,0.4982885921495303
6,6,-10,0.49857382556183216
7,6,-10,0.49890973870584154
8,6,-10,0.49929541214843415
9,6,-10,0.49973106238867704
10,6,-10,0.500214244899762
11,6,-10,0.5007453452507411
12,6,-10,0.5013236800240919
13,6,-10,0.5019469976276278
14,6,-10,0.5026148403401796
14.999999999999998,6,-10,0.5033259782426425
16,6,-10,0.5040792410515078
17,6,-10,0.5048730622077727
18,6,-10,0.5057062847748058
18.999999999999996,6,-10,0.506577005558676
20,6,-10,0.5074837906641804
21,6,-10,0.5084250073057248
22,6,-10,0.5093994307831569
23,6,-10,0.5104047029517332
24,6,-10,0.5114403742247677
24.999999999999996,6,-10,0.5125024932969892
26,6,-10,0.5135907652275536
27,6,-10,0.5147036142041321
28,6,-10,0.5158375790044144
29,6,-10,0.5169920249008402
29.999999999999996,6,-10,0.5181646295368789
-10,7,-10,0.4997417881273109
-9,7,-10,0.4992791606696654
-8,7,-10,0.49886246147825675
-7,7,-10,0.4984933648667239
-6,7,-10,0.49817203777832614
-5,7,-10,0.4978992976425122
-4,7,-10,0.497675560947414
-3,7,-10,0.49750034793155773
-2,7,-10,0.49737578820205075
-1,7,-10,0.49730050408158993
0,7,-10,0.49727519114600927
1,7,-10,0.4973005317832719
2,7,-10,0.4973755392083191
3,7,-10,0.4975006425521791
4,7,-10,0.4976753882078054
5,7,-10,0.4978994822401631
6,7,-10,0.4981722058972223
7,7,-10,0.49849408338894385
8,7,-10,0.4988633052236785
9,7,-10,0.4992798177724624
10,7,-10,0.4997426415492331
11,7,-10,0.5002510053959572
12,7,-10,0.5008046893128063
13,7,-10,0.5014010198576523
14,7,-10,0.5020410074190257
14.999999999999998,7,-10,0.5027218153791927
16,7,-10,0.5034429155220962
17,7,-10,0.5042030902022332
18,7,-10,0.5050007279262093
18.999999999999996,7,-10,0.5058346763588406
20,7,-10,0.5067029602636952
21,7,-10,0.5076048987870141
22,7,-10,0.508537994348654
23,7,-10,0.5095015654942089
24,7,-10,0.5104928493805396
24.999999999999996,7,-10,0.5115103304684707
26,7,-10,0.5125528777631261
27,7,-10,0.5136186370999266
